Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Distance (km),Pace (min/km),Time
4814818,Adam Fogg,13123040381,Warm Down,,2024-12-15 17:44:07+00:00,313,Run,"Coventry, United Kingdom",1.04,5.0,5 m 13 s
4814818,Adam Fogg,13123040731,4 x (4 x 500),1:20 -> 1:17 with 75 sec recovery and 3 mins between sets,2024-12-15 16:52:05+00:00,2739,Run,"Coventry, United Kingdom",11.37,3.9,44 m 21 s
4814818,Adam Fogg,13123040559,Warm Up,,2024-12-15 16:16:56+00:00,932,Run,"Coventry, United Kingdom",2.53,4.42,11 m 10 s
4814818,Adam Fogg,13119232383,Warm Down,,2024-12-15 10:12:05+00:00,475,Run,"City of London, United Kingdom",1.7,4.6,7 m 51 s
4814818,Adam Fogg,13119041794,3 x 2 Miles,18.4 / 18.6 / 18.8k/h 5:15 -> 5:08/mi (3:15 -> 3:11/km) All 0.5 incline with 90 sec recovery,2024-12-15 09:24:17+00:00,2112,Run,,10.12,3.48,35 m 12 s
4814818,Adam Fogg,13118749534,Warm Up,,2024-12-15 08:54:19+00:00,511,Run,"Greater London, United Kingdom",1.67,5.1,8 m 31 s
4814818,Adam Fogg,13112031856,Greenway with Alex,+ speed dev after 55 mins,2024-12-14 08:18:37+00:00,5753,Run,"Stratford-on-Avon, United Kingdom",16.58,4.4,1 h 12 m
4814818,Adam Fogg,13108364013,Double,,2024-12-13 17:14:01+00:00,1811,Run,"Stratford-on-Avon, United Kingdom",6.67,4.52,30 m 11 s
4814818,Adam Fogg,13105783091,Treadmill,+ gym and sauna,2024-12-13 09:30:41+00:00,3625,Run,,13.06,4.63,1 h 0 m
4814818,Adam Fogg,13099278440,Long,,2024-12-12 09:59:38+00:00,6036,Run,"Stratford-on-Avon, United Kingdom",30.03,3.35,1 h 40 m
4814818,Adam Fogg,13085103121,Jog,+ gym and sauna,2024-12-10 10:29:31+00:00,4508,Run,"Stratford-on-Avon, United Kingdom",16.19,4.63,1 h 15 m
4814818,Adam Fogg,13080125355,Warm Down,"31k (19mi) treadmill day, sauna after",2024-12-09 17:33:39+00:00,503,Run,,1.65,5.08,8 m 23 s
4814818,Adam Fogg,13080037491,12 x 800,All 0.5 incline at 20.6k/h (2:55/km - 2:20 per 800) with 1 min jog recovery at 10k/h,2024-12-09 16:48:50+00:00,2391,Run,,11.94,3.33,39 m 51 s
4814818,Adam Fogg,13079769468,Warm Up,,2024-12-09 16:23:47+00:00,934,Run,,2.53,4.9,12 m 24 s
4814818,Adam Fogg,13077413174,Warm Down,,2024-12-09 09:30:04+00:00,612,Run,,2.03,5.02,10 m 12 s
4814818,Adam Fogg,13077340489,6 x 5 Minutes,"All 0.5 incline, first 3 at 19.3k/h, last 3 at 19.5k/h *60 sec jog recovery at 10k/h",2024-12-09 08:47:34+00:00,2141,Run,,10.58,3.37,35 m 41 s
4814818,Adam Fogg,13077122737,Warm Up,,2024-12-09 08:13:38+00:00,956,Run,,2.55,4.88,12 m 26 s
4928335,JP Flavin,13116841829,Club XC - 37th,Brutally muddy to the point where I fell twice. Embarrassing as hell but I guess finishing this high up is a win lol. Would’ve been fun to compete but I guess playing catchup will have to do,2024-12-14 22:09:19+00:00,1939,Run,,10.0,3.23,32 m 19 s
4928335,JP Flavin,13116816358,CD,,2024-12-14 21:56:28+00:00,2018,Run,"University Place, USA",6.47,4.8,31 m 8 s
4928335,JP Flavin,13116814955,Wu,,2024-12-14 20:05:19+00:00,1102,Run,"University Place, USA",4.05,4.13,16 m 45 s
4928335,JP Flavin,13114977738,Quakeout,,2024-12-14 16:15:15+00:00,615,Run,"Pierce County, USA",2.32,4.35,10 m 6 s
4928335,JP Flavin,13109409155,Anyone wanna mud wrestle,,2024-12-13 20:18:23+00:00,3276,Run,"University Place, USA",10.8,3.93,42 m 28 s
4928335,JP Flavin,13103812942,Misty,Son of Father John,2024-12-13 00:06:28+00:00,1774,Run,"Summit, USA",6.52,4.0,26 m 4 s
4928335,JP Flavin,13102087050,Saw a seal,And then he sang Kiss from a Rose to me,2024-12-12 18:21:45+00:00,3326,Run,"Tacoma, USA",12.94,3.93,50 m 50 s
