Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Distance (km),Pace (min/km),Time
32795912,Ben Pattison,12867453650,Morning Run,,2024-11-10 10:07:28+00:00,5168,Run,"Charnwood, United Kingdom",18.49,4.48,1 h 23 m
32795912,Ben Pattison,12863476960,Podium 5k 14:08 it’ll do,Would be great to learn how to run a 5k at some point however I do have some nerve showing my face in November in shape,2024-11-09 23:23:18+00:00,848,Run,,4.99,2.83,14 m 8 s
32795912,Ben Pattison,12862465540,Evening Run,,2024-11-09 19:02:53+00:00,582,Run,"Borough of Pendle, United Kingdom",1.82,5.3,9 m 42 s
32795912,Ben Pattison,12861782713,Afternoon Run,,2024-11-09 17:40:31+00:00,860,Run,"Borough of Pendle, United Kingdom",3.04,4.72,14 m 20 s
32795912,Ben Pattison,12844815565,Afternoon Run,,2024-11-07 13:24:07+00:00,270,Run,"Charnwood, United Kingdom",0.85,5.02,4 m 17 s
32795912,Ben Pattison,12844403310,Lunch Run,,2024-11-07 12:59:34+00:00,531,Run,"Charnwood, United Kingdom",2.36,3.7,8 m 45 s
32795912,Ben Pattison,12844096655,Lunch Run,,2024-11-07 12:24:27+00:00,567,Run,"Charnwood, United Kingdom",2.2,4.22,9 m 17 s
32795912,Ben Pattison,12838136783,Wednesday run!!,,2024-11-06 16:21:31+00:00,1843,Run,"Charnwood, United Kingdom",6.44,4.53,29 m 13 s
32795912,Ben Pattison,12830089788,Sub max testing,,2024-11-05 16:47:00+00:00,1680,Run,,8.04,3.48,28 m 0 s
32795912,Ben Pattison,12830253321,Afternoon Run,,2024-11-05 13:13:50+00:00,614,Run,,2.32,4.42,10 m 14 s
32795912,Ben Pattison,12830252784,Lunch Run,,2024-11-05 12:35:08+00:00,2206,Run,"Charnwood, United Kingdom",0.45,,36 m 40 s
32795912,Ben Pattison,12828027895,Lunch Run,,2024-11-05 12:07:43+00:00,650,Run,,2.44,4.43,10 m 50 s
32795912,Ben Pattison,12819060721,Morning Run,,2024-11-04 08:30:20+00:00,2208,Run,"Charnwood, United Kingdom",8.09,4.48,36 m 19 s
32795912,Ben Pattison,12913149065,Morning Run,,2024-11-16 10:55:06+00:00,3819,Run,"Basingstoke and Deane, United Kingdom",13.53,4.18,56 m 41 s
32795912,Ben Pattison,12913150014,Lunch Run,,2024-11-16 12:04:04+00:00,453,Run,"Basingstoke and Deane, United Kingdom",1.29,,7 m 33 s
32795912,Ben Pattison,12913147367,Morning Run,,2024-11-16 10:17:55+00:00,966,Run,"Basingstoke and Deane, United Kingdom",3.51,4.58,16 m 6 s
32795912,Ben Pattison,12907035574,Evening Run,,2024-11-14 19:07:17+00:00,817,Run,"Charnwood, United Kingdom",2.44,4.78,11 m 42 s
32795912,Ben Pattison,12902341092,Evening Run,,2024-11-14 18:29:49+00:00,1584,Run,"Charnwood, United Kingdom",8.39,3.15,26 m 24 s
32795912,Ben Pattison,12898456372,Lunch Run,,2024-11-14 11:31:00+00:00,462,Run,"Charnwood, United Kingdom",1.78,4.32,7 m 42 s
