Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Distance (km),Pace (min/km),Time
4882648,Mike Foppen,12866295369,SLR,,2024-11-10 08:41:32+00:00,5370,Run,"Matemale, France",20.83,4.17,1 h 26 m
4882648,Mike Foppen,12922337648,2nd place 🥰,,2024-11-17 12:00:01+00:00,2599,Run,"Nijmegen, Netherlands",15.26,2.83,43 m 19 s
4882648,Mike Foppen,12884940586,⏳🥱,,2024-11-12 15:21:51+00:00,4992,Run,"Font-Romeu-Odeillo-Via, France",15.69,3.72,58 m 16 s
4882648,Mike Foppen,12952478394,🥶🥶🥶,,2024-11-21 15:12:51+00:00,5349,Run,"Nijmegen, Netherlands",16.04,3.75,1 h 0 m
4882648,Mike Foppen,12988408731,1.8 🤨,,2024-11-26 15:13:31+00:00,5752,Run,"Nijmegen, Netherlands",16.13,3.68,59 m 20 s
4882648,Mike Foppen,13073333784,Course de l’Escalade 🥉,,2024-12-08 14:15:01+00:00,1246,Run,"Geneva, Switzerland",7.38,2.82,20 m 46 s
4882648,Mike Foppen,13115515308,(2/2) 🥶 🌧️ 💨,Julia with a flashlight on the bike next to me because the track lights were off😂 2.6 after last one,2024-12-14 16:11:53+00:00,6136,Run,"Nijmegen, Netherlands",15.09,3.9,58 m 57 s
4882648,Mike Foppen,13112281744,(1/2) 3x12min @T,,2024-12-14 09:03:01+00:00,4897,Run,"Heumen, Netherlands",18.4,3.62,1 h 6 m
4882648,Mike Foppen,13099613118,🧘,,2024-12-12 11:28:20+00:00,4300,Run,"Nijmegen, Netherlands",18.01,3.9,1 h 10 m
4882648,Mike Foppen,13094526691,8x1 @T 😮‍💨,,2024-12-11 16:16:30+00:00,5553,Run,"Nijmegen, Netherlands",14.52,3.75,54 m 33 s
4882648,Mike Foppen,13162713267,Sub 60,,2024-12-21 14:43:10+00:00,6257,Run,"Kalmar kommun, Sweden",16.79,3.8,1 h 3 m
4882648,Mike Foppen,13159986388,5x6min @1.8,,2024-12-21 08:47:48+00:00,4833,Run,"Kalmar kommun, Sweden",16.52,3.68,1 h 0 m
4882648,Mike Foppen,13180043424,Long T with David,,2024-12-24 09:00:43+00:00,6267,Run,"Kalmar kommun, Sweden",21.44,3.68,1 h 19 m
4882648,Mike Foppen,12866295369,SLR,,2024-11-10 08:41:32+00:00,5370,Run,"Matemale, France",20.83,4.17,1 h 26 m
4882648,Mike Foppen,12922337648,2nd place 🥰,,2024-11-17 12:00:01+00:00,2599,Run,"Nijmegen, Netherlands",15.26,2.83,43 m 19 s
4882648,Mike Foppen,12884940586,⏳🥱,,2024-11-12 15:21:51+00:00,4992,Run,"Font-Romeu-Odeillo-Via, France",15.69,3.72,58 m 16 s
4882648,Mike Foppen,12952478394,🥶🥶🥶,,2024-11-21 15:12:51+00:00,5349,Run,"Nijmegen, Netherlands",16.04,3.75,1 h 0 m
4882648,Mike Foppen,12988408731,1.8 🤨,,2024-11-26 15:13:31+00:00,5752,Run,"Nijmegen, Netherlands",16.13,3.68,59 m 20 s
4882648,Mike Foppen,13073333784,Course de l’Escalade 🥉,,2024-12-08 14:15:01+00:00,1246,Run,"Geneva, Switzerland",7.38,2.82,20 m 46 s
4882648,Mike Foppen,13115515308,(2/2) 🥶 🌧️ 💨,Julia with a flashlight on the bike next to me because the track lights were off😂 2.6 after last one,2024-12-14 16:11:53+00:00,6136,Run,"Nijmegen, Netherlands",15.09,3.9,58 m 57 s
4882648,Mike Foppen,13112281744,(1/2) 3x12min @T,,2024-12-14 09:03:01+00:00,4897,Run,"Heumen, Netherlands",18.4,3.62,1 h 6 m
4882648,Mike Foppen,13099613118,🧘,,2024-12-12 11:28:20+00:00,4300,Run,"Nijmegen, Netherlands",18.01,3.9,1 h 10 m
